CustomerID,Recency,Frequency,Monetary,Tenure,ActiveMonths,ProductDiversity,AvgOrderValue,AvgDaysBetweenOrders,Regularity,IsUK,T_BGNBD,Recency_BGNBD,ActualCLV,IsVIP
13085,102,7,2295.3,545,3,46,327.9,73.66666666666667,2.085691130454507,1,545,443,137.98,0
13078,7,41,21371.67,545,18,131,521.260243902439,13.05,0.5129977685309631,1,545,538,8160.78,1
15362,255,2,613.0799999999999,545,2,38,306.54,290.0,,1,545,290,0.0,0
18102,13,100,413806.46,545,16,310,4138.0646,5.090909090909091,1.9110684666694204,1,545,532,194545.75,1
12682,8,31,16564.14,545,18,243,534.3270967741935,17.4,0.6809464681875984,0,545,537,7010.93,1
18087,97,16,13908.72,545,9,43,869.2950000000001,29.4,1.131599769405702,1,545,448,852.8,0
13635,249,3,1928.13,545,2,89,642.71,147.5,1.2799831225546316,1,545,296,1071.03,0
14110,27,23,9006.32,545,11,148,391.5791304347826,23.13636363636364,1.4889304752633683,1,545,518,3981.63,1
12636,545,1,141.0,545,1,1,141.0,0.0,0.0,0,545,0,0.0,0
17519,13,12,4221.049999999999,545,12,124,351.7541666666666,47.90909090909091,0.5999962793351172,1,545,532,888.4200000000001,0
13758,8,13,8577.95,545,10,199,659.8423076923077,44.333333333333336,1.0531392194541764,1,545,537,839.03,0
12362,32,3,1104.34,545,3,52,368.1133333333334,256.0,1.0330388131397217,0,545,512,4251.89,1
15413,498,5,6798.72,545,2,20,1359.744,11.0,0.8495664102349203,1,545,47,0.0,0
16321,112,5,454.55000000000007,545,4,14,90.91,108.0,1.2809497219699555,0,545,433,150.0,0
16167,221,5,1386.1199999999997,545,4,51,277.22399999999993,80.75,1.031630483723997,1,545,324,0.0,0
17865,11,33,20009.73,545,16,326,606.3554545454546,16.34375,0.9384844097418268,1,545,534,6364.66,1
17592,545,1,148.3,545,1,13,148.3,0.0,0.0,1,545,0,0.0,0
13767,10,58,25561.46,545,16,112,440.71482758620687,8.964912280701755,1.2793039196946363,1,545,535,9979.070000000002,1
17238,13,23,5402.05,545,12,397,234.8717391304348,23.818181818181817,1.0335926723455422,1,545,532,2381.05,1
15712,94,8,2699.8500000000004,545,8,71,337.48125000000005,63.85714285714285,0.5828245006866678,1,545,451,772.5600000000001,0
15311,3,160,85669.95,545,18,698,535.4371874999999,2.8867924528301887,1.0779441375726515,1,545,542,30606.61,1
16329,234,4,1703.0700000000002,545,4,83,425.7675,103.0,0.9068189847639314,1,545,311,0.0,0
17700,20,12,5270.9,545,11,211,439.2416666666666,47.36363636363637,0.5754490195001768,1,545,525,1409.07,0
14911,4,258,190947.35,545,18,1978,740.1060077519379,1.7237354085603114,1.7819791412737056,0,545,541,105025.28,1
15998,69,13,7000.59,545,11,596,538.506923076923,39.083333333333336,0.7731112451699419,1,545,476,1307.75,0
12931,10,49,54212.08000000001,545,16,23,1106.368979591837,10.729166666666666,1.3257555229770923,1,545,534,38135.26,1
12533,434,2,1367.89,545,2,63,683.945,110.0,,0,545,110,0.0,0
17984,199,4,1038.59,545,3,165,259.6475,114.66666666666669,1.0540546953090633,1,545,346,152.68,0
14871,62,7,985.19,545,6,89,140.74142857142857,80.0,0.5344389581607987,1,545,483,273.78000000000003,0
13394,21,14,5037.01,545,13,199,359.7864285714286,39.76923076923077,0.5583256271505266,1,545,524,1584.69,0
16011,40,19,3508.59,545,13,148,184.66263157894736,27.61111111111111,0.7444280937946746,1,545,505,2371.87,1
16393,22,15,3354.67,545,11,271,223.64466666666667,36.92857142857143,0.7531795144422198,1,545,523,2206.99,1
14040,22,28,10480.03,545,15,298,374.2867857142857,18.925925925925927,0.8441206620098562,1,545,523,2165.54,1
12913,89,11,5083.62,545,9,31,462.1472727272727,45.2,1.054484597300293,1,545,455,1617.24,0
15061,18,108,114007.3,545,17,116,1055.6231481481482,4.644859813084112,1.6171241889727597,1,545,526,23811.22,1
